Function,Derivative
\frac{5 x^{2} e^{5 x^{2}} \log{\left(- x^{2} \right)}}{\sin{\left(x^{2} \right)}},\frac{50 x^{3} e^{5 x^{2}} \log{\left(- x^{2} \right)}}{\sin{\left(x^{2} \right)}} - \frac{10 x^{3} e^{5 x^{2}} \log{\left(- x^{2} \right)} \cos{\left(x^{2} \right)}}{\sin^{2}{\left(x^{2} \right)}} + \frac{10 x e^{5 x^{2}} \log{\left(- x^{2} \right)}}{\sin{\left(x^{2} \right)}} + \frac{10 x e^{5 x^{2}}}{\sin{\left(x^{2} \right)}}
e^{- 2 x^{2}} e^{- 6 x^{3}} \sin{\left(4 x \right)},- 18 x^{2} e^{- 2 x^{2}} e^{- 6 x^{3}} \sin{\left(4 x \right)} - 4 x e^{- 2 x^{2}} e^{- 6 x^{3}} \sin{\left(4 x \right)} + 4 e^{- 2 x^{2}} e^{- 6 x^{3}} \cos{\left(4 x \right)}
- 12 x^{4} e^{3 x},- 36 x^{4} e^{3 x} - 48 x^{3} e^{3 x}
- 6 x^{4},- 24 x^{3}
\frac{x^{2}}{\sin{\left(x^{3} \right)}},- \frac{3 x^{4} \cos{\left(x^{3} \right)}}{\sin^{2}{\left(x^{3} \right)}} + \frac{2 x}{\sin{\left(x^{3} \right)}}
- 2 x^{3} \log{\left(2 x^{2} \right)},- 6 x^{2} \log{\left(2 x^{2} \right)} - 4 x^{2}
\frac{42 x^{3} \cos{\left(9 x^{3} \right)}}{\log{\left(7 x^{2} \right)}},- \frac{1134 x^{5} \sin{\left(9 x^{3} \right)}}{\log{\left(7 x^{2} \right)}} + \frac{126 x^{2} \cos{\left(9 x^{3} \right)}}{\log{\left(7 x^{2} \right)}} - \frac{84 x^{2} \cos{\left(9 x^{3} \right)}}{\log{\left(7 x^{2} \right)}^{2}}
\frac{\cos{\left(7 x^{2} \right)}}{9 x^{3} \sin{\left(6 x \right)}},- \frac{14 \sin{\left(7 x^{2} \right)}}{9 x^{2} \sin{\left(6 x \right)}} - \frac{2 \cos{\left(6 x \right)} \cos{\left(7 x^{2} \right)}}{3 x^{3} \sin^{2}{\left(6 x \right)}} - \frac{\cos{\left(7 x^{2} \right)}}{3 x^{4} \sin{\left(6 x \right)}}
\cos{\left(6 x^{2} \right)},- 12 x \sin{\left(6 x^{2} \right)}
56 x^{5},280 x^{4}
\frac{50 x^{3}}{\sin{\left(6 x^{3} \right)} \cos{\left(8 x^{3} \right)}},\frac{1200 x^{5} \sin{\left(8 x^{3} \right)}}{\sin{\left(6 x^{3} \right)} \cos^{2}{\left(8 x^{3} \right)}} - \frac{900 x^{5} \cos{\left(6 x^{3} \right)}}{\sin^{2}{\left(6 x^{3} \right)} \cos{\left(8 x^{3} \right)}} + \frac{150 x^{2}}{\sin{\left(6 x^{3} \right)} \cos{\left(8 x^{3} \right)}}
- \frac{168 x^{6}}{\cos{\left(9 x^{3} \right)}},- \frac{4536 x^{8} \sin{\left(9 x^{3} \right)}}{\cos^{2}{\left(9 x^{3} \right)}} - \frac{1008 x^{5}}{\cos{\left(9 x^{3} \right)}}
\frac{6 x^{8}}{\cos{\left(9 x^{2} \right)}},\frac{108 x^{9} \sin{\left(9 x^{2} \right)}}{\cos^{2}{\left(9 x^{2} \right)}} + \frac{48 x^{7}}{\cos{\left(9 x^{2} \right)}}
- x^{2} e^{- 2 x^{2}},4 x^{3} e^{- 2 x^{2}} - 2 x e^{- 2 x^{2}}
2240 x^{8},17920 x^{7}
- \frac{\cos{\left(9 x^{3} \right)}}{9 x},3 x \sin{\left(9 x^{3} \right)} + \frac{\cos{\left(9 x^{3} \right)}}{9 x^{2}}
7 \sin{\left(5 x \right)},35 \cos{\left(5 x \right)}
- \frac{\sin{\left(10 x^{3} \right)}}{\sin{\left(5 x^{2} \right)}},- \frac{30 x^{2} \cos{\left(10 x^{3} \right)}}{\sin{\left(5 x^{2} \right)}} + \frac{10 x \sin{\left(10 x^{3} \right)} \cos{\left(5 x^{2} \right)}}{\sin^{2}{\left(5 x^{2} \right)}}
\frac{5 x^{2} e^{8 x^{3}}}{9},\frac{40 x^{4} e^{8 x^{3}}}{3} + \frac{10 x e^{8 x^{3}}}{9}
\frac{42 x^{3} e^{- 2 x}}{5},- \frac{84 x^{3} e^{- 2 x}}{5} + \frac{126 x^{2} e^{- 2 x}}{5}
\frac{\cos{\left(8 x^{2} \right)}}{3},- \frac{16 x \sin{\left(8 x^{2} \right)}}{3}
\frac{10}{3},0
- \frac{e^{8 x^{3}}}{7 x^{2} \sin{\left(10 x^{2} \right)}},- \frac{24 e^{8 x^{3}}}{7 \sin{\left(10 x^{2} \right)}} + \frac{20 e^{8 x^{3}} \cos{\left(10 x^{2} \right)}}{7 x \sin^{2}{\left(10 x^{2} \right)}} + \frac{2 e^{8 x^{3}}}{7 x^{3} \sin{\left(10 x^{2} \right)}}
- \frac{6 \cos{\left(x^{3} \right)}}{7 \log{\left(- 6 x^{2} \right)}},\frac{18 x^{2} \sin{\left(x^{3} \right)}}{7 \log{\left(- 6 x^{2} \right)}} + \frac{12 \cos{\left(x^{3} \right)}}{7 x \log{\left(- 6 x^{2} \right)}^{2}}
- \frac{\log{\left(- 4 x \right)} \sin{\left(8 x^{3} \right)} \cos{\left(7 x^{3} \right)}}{6 x^{3}},\frac{7 \log{\left(- 4 x \right)} \sin{\left(7 x^{3} \right)} \sin{\left(8 x^{3} \right)}}{2 x} - \frac{4 \log{\left(- 4 x \right)} \cos{\left(7 x^{3} \right)} \cos{\left(8 x^{3} \right)}}{x} + \frac{\log{\left(- 4 x \right)} \sin{\left(8 x^{3} \right)} \cos{\left(7 x^{3} \right)}}{2 x^{4}} - \frac{\sin{\left(8 x^{3} \right)} \cos{\left(7 x^{3} \right)}}{6 x^{4}}
32 x^{6},192 x^{5}
- \frac{6 x^{3} \log{\left(4 x^{3} \right)}}{\log{\left(- x^{3} \right)}},- \frac{18 x^{2} \log{\left(4 x^{3} \right)}}{\log{\left(- x^{3} \right)}} - \frac{18 x^{2}}{\log{\left(- x^{3} \right)}} + \frac{18 x^{2} \log{\left(4 x^{3} \right)}}{\log{\left(- x^{3} \right)}^{2}}
- \frac{e^{- 8 x^{2}} \sin{\left(4 x^{3} \right)}}{\log{\left(3 x \right)} \sin{\left(3 x^{2} \right)}},- \frac{12 x^{2} e^{- 8 x^{2}} \cos{\left(4 x^{3} \right)}}{\log{\left(3 x \right)} \sin{\left(3 x^{2} \right)}} + \frac{16 x e^{- 8 x^{2}} \sin{\left(4 x^{3} \right)}}{\log{\left(3 x \right)} \sin{\left(3 x^{2} \right)}} + \frac{6 x e^{- 8 x^{2}} \sin{\left(4 x^{3} \right)} \cos{\left(3 x^{2} \right)}}{\log{\left(3 x \right)} \sin^{2}{\left(3 x^{2} \right)}} + \frac{e^{- 8 x^{2}} \sin{\left(4 x^{3} \right)}}{x \log{\left(3 x \right)}^{2} \sin{\left(3 x^{2} \right)}}
- \frac{e^{2 x}}{7 x \sin{\left(6 x \right)}},- \frac{2 e^{2 x}}{7 x \sin{\left(6 x \right)}} + \frac{6 e^{2 x} \cos{\left(6 x \right)}}{7 x \sin^{2}{\left(6 x \right)}} + \frac{e^{2 x}}{7 x^{2} \sin{\left(6 x \right)}}
- 21 x^{4},- 84 x^{3}
- \frac{\cos{\left(3 x^{3} \right)}}{\sin{\left(4 x \right)}},\frac{9 x^{2} \sin{\left(3 x^{3} \right)}}{\sin{\left(4 x \right)}} + \frac{4 \cos{\left(4 x \right)} \cos{\left(3 x^{3} \right)}}{\sin^{2}{\left(4 x \right)}}
\frac{\log{\left(- 9 x \right)}}{2 \sin{\left(4 x \right)}},- \frac{2 \log{\left(- 9 x \right)} \cos{\left(4 x \right)}}{\sin^{2}{\left(4 x \right)}} + \frac{1}{2 x \sin{\left(4 x \right)}}
\frac{6 x}{\cos{\left(x^{2} \right)}},\frac{12 x^{2} \sin{\left(x^{2} \right)}}{\cos^{2}{\left(x^{2} \right)}} + \frac{6}{\cos{\left(x^{2} \right)}}
\frac{1}{4 x^{3}},- \frac{3}{4 x^{4}}
- \frac{\log{\left(- 3 x^{2} \right)}}{9 x^{3}},\frac{\log{\left(- 3 x^{2} \right)}}{3 x^{4}} - \frac{2}{9 x^{4}}
\frac{3 e^{- 3 x^{2}} \sin{\left(x \right)}}{5},- \frac{18 x e^{- 3 x^{2}} \sin{\left(x \right)}}{5} + \frac{3 e^{- 3 x^{2}} \cos{\left(x \right)}}{5}
- 4 x^{2} \log{\left(- 4 x^{3} \right)},- 8 x \log{\left(- 4 x^{3} \right)} - 12 x
\log{\left(- 4 x^{3} \right)} \log{\left(- 3 x^{3} \right)},\frac{3 \log{\left(- 4 x^{3} \right)}}{x} + \frac{3 \log{\left(- 3 x^{3} \right)}}{x}
0,0
x^{2} \cos{\left(9 x^{3} \right)},- 27 x^{4} \sin{\left(9 x^{3} \right)} + 2 x \cos{\left(9 x^{3} \right)}
7 x^{3} e^{x} \log{\left(- 3 x^{2} \right)},7 x^{3} e^{x} \log{\left(- 3 x^{2} \right)} + 21 x^{2} e^{x} \log{\left(- 3 x^{2} \right)} + 14 x^{2} e^{x}
- 200 x^{5},- 1000 x^{4}
- \frac{\log{\left(- 6 x \right)} \sin{\left(3 x \right)} \sin{\left(9 x \right)}}{x},- \frac{9 \log{\left(- 6 x \right)} \sin{\left(3 x \right)} \cos{\left(9 x \right)}}{x} - \frac{3 \log{\left(- 6 x \right)} \sin{\left(9 x \right)} \cos{\left(3 x \right)}}{x} + \frac{\log{\left(- 6 x \right)} \sin{\left(3 x \right)} \sin{\left(9 x \right)}}{x^{2}} - \frac{\sin{\left(3 x \right)} \sin{\left(9 x \right)}}{x^{2}}
\frac{\sin{\left(7 x^{2} \right)}}{6 x^{3} \log{\left(7 x^{2} \right)} \cos{\left(5 x \right)}},\frac{7 \cos{\left(7 x^{2} \right)}}{3 x^{2} \log{\left(7 x^{2} \right)} \cos{\left(5 x \right)}} + \frac{5 \sin{\left(5 x \right)} \sin{\left(7 x^{2} \right)}}{6 x^{3} \log{\left(7 x^{2} \right)} \cos^{2}{\left(5 x \right)}} - \frac{\sin{\left(7 x^{2} \right)}}{2 x^{4} \log{\left(7 x^{2} \right)} \cos{\left(5 x \right)}} - \frac{\sin{\left(7 x^{2} \right)}}{3 x^{4} \log{\left(7 x^{2} \right)}^{2} \cos{\left(5 x \right)}}
- \frac{e^{- 2 x^{2}}}{\sin{\left(x^{3} \right)} \cos{\left(2 x^{2} \right)}},\frac{3 x^{2} e^{- 2 x^{2}} \cos{\left(x^{3} \right)}}{\sin^{2}{\left(x^{3} \right)} \cos{\left(2 x^{2} \right)}} - \frac{4 x e^{- 2 x^{2}} \sin{\left(2 x^{2} \right)}}{\sin{\left(x^{3} \right)} \cos^{2}{\left(2 x^{2} \right)}} + \frac{4 x e^{- 2 x^{2}}}{\sin{\left(x^{3} \right)} \cos{\left(2 x^{2} \right)}}
- \frac{x \cos{\left(9 x^{3} \right)}}{4},\frac{27 x^{3} \sin{\left(9 x^{3} \right)}}{4} - \frac{\cos{\left(9 x^{3} \right)}}{4}
\frac{e^{2 x} \log{\left(- 9 x \right)}}{\cos{\left(7 x^{3} \right)}},\frac{21 x^{2} e^{2 x} \log{\left(- 9 x \right)} \sin{\left(7 x^{3} \right)}}{\cos^{2}{\left(7 x^{3} \right)}} + \frac{2 e^{2 x} \log{\left(- 9 x \right)}}{\cos{\left(7 x^{3} \right)}} + \frac{e^{2 x}}{x \cos{\left(7 x^{3} \right)}}
56 x^{3},168 x^{2}
- \frac{8 x^{4}}{3},- \frac{32 x^{3}}{3}
- \frac{1}{7 x^{4}},\frac{4}{7 x^{5}}
- \frac{8 x}{\log{\left(- 6 x^{2} \right)}},- \frac{8}{\log{\left(- 6 x^{2} \right)}} + \frac{16}{\log{\left(- 6 x^{2} \right)}^{2}}
\frac{e^{- 7 x} \cos{\left(7 x \right)}}{4 x^{2}},- \frac{7 e^{- 7 x} \sin{\left(7 x \right)}}{4 x^{2}} - \frac{7 e^{- 7 x} \cos{\left(7 x \right)}}{4 x^{2}} - \frac{e^{- 7 x} \cos{\left(7 x \right)}}{2 x^{3}}
2 x^{3} e^{- 7 x},- 14 x^{3} e^{- 7 x} + 6 x^{2} e^{- 7 x}
\frac{x \log{\left(7 x \right)}}{5 \log{\left(- 6 x \right)}},\frac{\log{\left(7 x \right)}}{5 \log{\left(- 6 x \right)}} + \frac{1}{5 \log{\left(- 6 x \right)}} - \frac{\log{\left(7 x \right)}}{5 \log{\left(- 6 x \right)}^{2}}
24 x^{5} \log{\left(9 x^{3} \right)},120 x^{4} \log{\left(9 x^{3} \right)} + 72 x^{4}
- \frac{5}{18 x^{2}},\frac{5}{9 x^{3}}
\log{\left(9 x^{3} \right)},\frac{3}{x}
- \frac{2 x}{7 \cos{\left(7 x^{3} \right)}},- \frac{6 x^{3} \sin{\left(7 x^{3} \right)}}{\cos^{2}{\left(7 x^{3} \right)}} - \frac{2}{7 \cos{\left(7 x^{3} \right)}}
\frac{48 x^{5}}{\log{\left(- 3 x^{2} \right)}},\frac{240 x^{4}}{\log{\left(- 3 x^{2} \right)}} - \frac{96 x^{4}}{\log{\left(- 3 x^{2} \right)}^{2}}
441 x^{6},2646 x^{5}
0,0
\frac{e^{- 8 x^{3}} \log{\left(- 3 x^{3} \right)}}{x^{2}},- 24 e^{- 8 x^{3}} \log{\left(- 3 x^{3} \right)} - \frac{2 e^{- 8 x^{3}} \log{\left(- 3 x^{3} \right)}}{x^{3}} + \frac{3 e^{- 8 x^{3}}}{x^{3}}
\frac{\sin{\left(x^{2} \right)}}{6 x^{2}},\frac{\cos{\left(x^{2} \right)}}{3 x} - \frac{\sin{\left(x^{2} \right)}}{3 x^{3}}
- 4 x^{3} e^{4 x^{2}} \log{\left(x^{2} \right)},- 32 x^{4} e^{4 x^{2}} \log{\left(x^{2} \right)} - 12 x^{2} e^{4 x^{2}} \log{\left(x^{2} \right)} - 8 x^{2} e^{4 x^{2}}
\frac{1}{\cos{\left(3 x^{3} \right)}},\frac{9 x^{2} \sin{\left(3 x^{3} \right)}}{\cos^{2}{\left(3 x^{3} \right)}}
8 x^{2} \log{\left(2 x \right)} \log{\left(10 x \right)} \log{\left(3 x^{2} \right)},16 x \log{\left(2 x \right)} \log{\left(10 x \right)} \log{\left(3 x^{2} \right)} + 16 x \log{\left(2 x \right)} \log{\left(10 x \right)} + 8 x \log{\left(2 x \right)} \log{\left(3 x^{2} \right)} + 8 x \log{\left(10 x \right)} \log{\left(3 x^{2} \right)}
- \frac{7 x^{2} \cos{\left(8 x^{3} \right)}}{\log{\left(x^{2} \right)}},\frac{168 x^{4} \sin{\left(8 x^{3} \right)}}{\log{\left(x^{2} \right)}} - \frac{14 x \cos{\left(8 x^{3} \right)}}{\log{\left(x^{2} \right)}} + \frac{14 x \cos{\left(8 x^{3} \right)}}{\log{\left(x^{2} \right)}^{2}}
\frac{e^{- x^{2}} e^{2 x^{3}}}{\cos{\left(9 x^{3} \right)}},\frac{27 x^{2} e^{- x^{2}} e^{2 x^{3}} \sin{\left(9 x^{3} \right)}}{\cos^{2}{\left(9 x^{3} \right)}} + \frac{6 x^{2} e^{- x^{2}} e^{2 x^{3}}}{\cos{\left(9 x^{3} \right)}} - \frac{2 x e^{- x^{2}} e^{2 x^{3}}}{\cos{\left(9 x^{3} \right)}}
- 2 x^{2} \log{\left(3 x^{3} \right)} \cos{\left(10 x^{3} \right)},60 x^{4} \log{\left(3 x^{3} \right)} \sin{\left(10 x^{3} \right)} - 4 x \log{\left(3 x^{3} \right)} \cos{\left(10 x^{3} \right)} - 6 x \cos{\left(10 x^{3} \right)}
\frac{1}{\cos{\left(10 x^{2} \right)}},\frac{20 x \sin{\left(10 x^{2} \right)}}{\cos^{2}{\left(10 x^{2} \right)}}
\frac{6 x^{3}}{\sin{\left(5 x \right)}},- \frac{30 x^{3} \cos{\left(5 x \right)}}{\sin^{2}{\left(5 x \right)}} + \frac{18 x^{2}}{\sin{\left(5 x \right)}}
\frac{3 x \sin{\left(7 x^{3} \right)}}{5},\frac{63 x^{3} \cos{\left(7 x^{3} \right)}}{5} + \frac{3 \sin{\left(7 x^{3} \right)}}{5}
\frac{81 x^{4} e^{7 x^{3}}}{7},243 x^{6} e^{7 x^{3}} + \frac{324 x^{3} e^{7 x^{3}}}{7}
- 27 x^{4},- 108 x^{3}
\frac{e^{- 9 x^{3}} \sin{\left(6 x \right)}}{8 x^{4}},- \frac{27 e^{- 9 x^{3}} \sin{\left(6 x \right)}}{8 x^{2}} + \frac{3 e^{- 9 x^{3}} \cos{\left(6 x \right)}}{4 x^{4}} - \frac{e^{- 9 x^{3}} \sin{\left(6 x \right)}}{2 x^{5}}
- 3 x \cos{\left(2 x^{3} \right)},18 x^{3} \sin{\left(2 x^{3} \right)} - 3 \cos{\left(2 x^{3} \right)}
\frac{e^{2 x^{2}} \log{\left(4 x \right)}}{60 x^{5}},\frac{e^{2 x^{2}} \log{\left(4 x \right)}}{15 x^{4}} - \frac{e^{2 x^{2}} \log{\left(4 x \right)}}{12 x^{6}} + \frac{e^{2 x^{2}}}{60 x^{6}}
- \frac{\log{\left(8 x \right)}}{80 x^{6}},\frac{3 \log{\left(8 x \right)}}{40 x^{7}} - \frac{1}{80 x^{7}}
\frac{5 x^{2}}{\log{\left(- x^{2} \right)}},\frac{10 x}{\log{\left(- x^{2} \right)}} - \frac{10 x}{\log{\left(- x^{2} \right)}^{2}}
\frac{e^{4 x^{3}} \log{\left(- 10 x \right)} \log{\left(- 9 x \right)}}{4 x},3 x e^{4 x^{3}} \log{\left(- 10 x \right)} \log{\left(- 9 x \right)} - \frac{e^{4 x^{3}} \log{\left(- 10 x \right)} \log{\left(- 9 x \right)}}{4 x^{2}} + \frac{e^{4 x^{3}} \log{\left(- 10 x \right)}}{4 x^{2}} + \frac{e^{4 x^{3}} \log{\left(- 9 x \right)}}{4 x^{2}}
\frac{e^{x^{2}} \log{\left(10 x \right)}}{\log{\left(10 x^{2} \right)} \sin{\left(10 x \right)}},\frac{2 x e^{x^{2}} \log{\left(10 x \right)}}{\log{\left(10 x^{2} \right)} \sin{\left(10 x \right)}} - \frac{10 e^{x^{2}} \log{\left(10 x \right)} \cos{\left(10 x \right)}}{\log{\left(10 x^{2} \right)} \sin^{2}{\left(10 x \right)}} - \frac{2 e^{x^{2}} \log{\left(10 x \right)}}{x \log{\left(10 x^{2} \right)}^{2} \sin{\left(10 x \right)}} + \frac{e^{x^{2}}}{x \log{\left(10 x^{2} \right)} \sin{\left(10 x \right)}}
- 80 x^{2},- 160 x
\cos{\left(6 x^{2} \right)},- 12 x \sin{\left(6 x^{2} \right)}
\frac{\sin{\left(10 x^{3} \right)}}{\cos{\left(6 x^{3} \right)}},\frac{18 x^{2} \sin{\left(6 x^{3} \right)} \sin{\left(10 x^{3} \right)}}{\cos^{2}{\left(6 x^{3} \right)}} + \frac{30 x^{2} \cos{\left(10 x^{3} \right)}}{\cos{\left(6 x^{3} \right)}}
\frac{\log{\left(- 4 x^{3} \right)}}{9 x^{3} \cos{\left(4 x \right)}},\frac{4 \log{\left(- 4 x^{3} \right)} \sin{\left(4 x \right)}}{9 x^{3} \cos^{2}{\left(4 x \right)}} - \frac{\log{\left(- 4 x^{3} \right)}}{3 x^{4} \cos{\left(4 x \right)}} + \frac{1}{3 x^{4} \cos{\left(4 x \right)}}
\frac{\cos{\left(3 x^{2} \right)}}{7 x^{3} \cos{\left(2 x^{3} \right)}},\frac{6 \sin{\left(2 x^{3} \right)} \cos{\left(3 x^{2} \right)}}{7 x \cos^{2}{\left(2 x^{3} \right)}} - \frac{6 \sin{\left(3 x^{2} \right)}}{7 x^{2} \cos{\left(2 x^{3} \right)}} - \frac{3 \cos{\left(3 x^{2} \right)}}{7 x^{4} \cos{\left(2 x^{3} \right)}}
\frac{\log{\left(6 x^{3} \right)}}{\cos{\left(x^{3} \right)}},\frac{3 x^{2} \log{\left(6 x^{3} \right)} \sin{\left(x^{3} \right)}}{\cos^{2}{\left(x^{3} \right)}} + \frac{3}{x \cos{\left(x^{3} \right)}}
- \frac{7 x \log{\left(x^{2} \right)}}{\sin{\left(10 x^{3} \right)}},\frac{210 x^{3} \log{\left(x^{2} \right)} \cos{\left(10 x^{3} \right)}}{\sin^{2}{\left(10 x^{3} \right)}} - \frac{7 \log{\left(x^{2} \right)}}{\sin{\left(10 x^{3} \right)}} - \frac{14}{\sin{\left(10 x^{3} \right)}}
- \frac{6 x^{2} e^{8 x} \sin{\left(5 x^{2} \right)}}{\log{\left(- 4 x \right)}},- \frac{60 x^{3} e^{8 x} \cos{\left(5 x^{2} \right)}}{\log{\left(- 4 x \right)}} - \frac{48 x^{2} e^{8 x} \sin{\left(5 x^{2} \right)}}{\log{\left(- 4 x \right)}} - \frac{12 x e^{8 x} \sin{\left(5 x^{2} \right)}}{\log{\left(- 4 x \right)}} + \frac{6 x e^{8 x} \sin{\left(5 x^{2} \right)}}{\log{\left(- 4 x \right)}^{2}}
- 6 x^{3} e^{5 x^{3}} \cos{\left(8 x^{2} \right)},- 90 x^{5} e^{5 x^{3}} \cos{\left(8 x^{2} \right)} + 96 x^{4} e^{5 x^{3}} \sin{\left(8 x^{2} \right)} - 18 x^{2} e^{5 x^{3}} \cos{\left(8 x^{2} \right)}
e^{9 x^{3}} \log{\left(- 8 x^{2} \right)},27 x^{2} e^{9 x^{3}} \log{\left(- 8 x^{2} \right)} + \frac{2 e^{9 x^{3}}}{x}
\frac{\sin{\left(10 x^{3} \right)}}{5 x^{2}},6 \cos{\left(10 x^{3} \right)} - \frac{2 \sin{\left(10 x^{3} \right)}}{5 x^{3}}
- \frac{1}{7},0
\frac{3}{2 x^{2} \log{\left(8 x^{3} \right)}},- \frac{3}{x^{3} \log{\left(8 x^{3} \right)}} - \frac{9}{2 x^{3} \log{\left(8 x^{3} \right)}^{2}}
- \frac{3 x e^{- 5 x^{2}} \cos{\left(7 x^{3} \right)}}{\sin{\left(6 x \right)}},\frac{63 x^{3} e^{- 5 x^{2}} \sin{\left(7 x^{3} \right)}}{\sin{\left(6 x \right)}} + \frac{30 x^{2} e^{- 5 x^{2}} \cos{\left(7 x^{3} \right)}}{\sin{\left(6 x \right)}} + \frac{18 x e^{- 5 x^{2}} \cos{\left(6 x \right)} \cos{\left(7 x^{3} \right)}}{\sin^{2}{\left(6 x \right)}} - \frac{3 e^{- 5 x^{2}} \cos{\left(7 x^{3} \right)}}{\sin{\left(6 x \right)}}
- \frac{9 x^{3}}{\log{\left(- 3 x^{2} \right)}},- \frac{27 x^{2}}{\log{\left(- 3 x^{2} \right)}} + \frac{18 x^{2}}{\log{\left(- 3 x^{2} \right)}^{2}}
- \frac{8 x^{3}}{\log{\left(- 3 x^{3} \right)} \cos{\left(7 x^{3} \right)}},- \frac{168 x^{5} \sin{\left(7 x^{3} \right)}}{\log{\left(- 3 x^{3} \right)} \cos^{2}{\left(7 x^{3} \right)}} - \frac{24 x^{2}}{\log{\left(- 3 x^{3} \right)} \cos{\left(7 x^{3} \right)}} + \frac{24 x^{2}}{\log{\left(- 3 x^{3} \right)}^{2} \cos{\left(7 x^{3} \right)}}
e^{10 x^{2}} \log{\left(- x^{2} \right)} \log{\left(8 x^{2} \right)},20 x e^{10 x^{2}} \log{\left(- x^{2} \right)} \log{\left(8 x^{2} \right)} + \frac{2 e^{10 x^{2}} \log{\left(- x^{2} \right)}}{x} + \frac{2 e^{10 x^{2}} \log{\left(8 x^{2} \right)}}{x}
e^{3 x} \sin{\left(7 x \right)},3 e^{3 x} \sin{\left(7 x \right)} + 7 e^{3 x} \cos{\left(7 x \right)}
- \frac{10 x^{3} \cos{\left(x \right)}}{\cos{\left(3 x^{2} \right)}},- \frac{60 x^{4} \sin{\left(3 x^{2} \right)} \cos{\left(x \right)}}{\cos^{2}{\left(3 x^{2} \right)}} + \frac{10 x^{3} \sin{\left(x \right)}}{\cos{\left(3 x^{2} \right)}} - \frac{30 x^{2} \cos{\left(x \right)}}{\cos{\left(3 x^{2} \right)}}
- 3 x^{3} \sin{\left(x^{2} \right)},- 6 x^{4} \cos{\left(x^{2} \right)} - 9 x^{2} \sin{\left(x^{2} \right)}
12 x^{3} \log{\left(2 x \right)},36 x^{2} \log{\left(2 x \right)} + 12 x^{2}
- \frac{\cos{\left(6 x^{3} \right)}}{7 x},\frac{18 x \sin{\left(6 x^{3} \right)}}{7} + \frac{\cos{\left(6 x^{3} \right)}}{7 x^{2}}
- \frac{3}{4 x \sin{\left(4 x^{2} \right)}},\frac{6 \cos{\left(4 x^{2} \right)}}{\sin^{2}{\left(4 x^{2} \right)}} + \frac{3}{4 x^{2} \sin{\left(4 x^{2} \right)}}
\frac{e^{3 x} e^{2 x^{3}}}{\log{\left(- 2 x \right)}},\frac{6 x^{2} e^{3 x} e^{2 x^{3}}}{\log{\left(- 2 x \right)}} + \frac{3 e^{3 x} e^{2 x^{3}}}{\log{\left(- 2 x \right)}} - \frac{e^{3 x} e^{2 x^{3}}}{x \log{\left(- 2 x \right)}^{2}}
- e^{2 x^{2}} \sin{\left(7 x \right)} \cos{\left(9 x \right)},- 4 x e^{2 x^{2}} \sin{\left(7 x \right)} \cos{\left(9 x \right)} + 9 e^{2 x^{2}} \sin{\left(7 x \right)} \sin{\left(9 x \right)} - 7 e^{2 x^{2}} \cos{\left(7 x \right)} \cos{\left(9 x \right)}
24 x^{4},96 x^{3}
\frac{\log{\left(4 x \right)}}{\log{\left(2 x^{2} \right)}},- \frac{2 \log{\left(4 x \right)}}{x \log{\left(2 x^{2} \right)}^{2}} + \frac{1}{x \log{\left(2 x^{2} \right)}}
- e^{x} \sin{\left(2 x^{2} \right)},- 4 x e^{x} \cos{\left(2 x^{2} \right)} - e^{x} \sin{\left(2 x^{2} \right)}
\frac{x^{2} \log{\left(- 2 x^{2} \right)}}{\sin{\left(7 x^{2} \right)} \sin{\left(4 x^{3} \right)}},- \frac{12 x^{4} \log{\left(- 2 x^{2} \right)} \cos{\left(4 x^{3} \right)}}{\sin{\left(7 x^{2} \right)} \sin^{2}{\left(4 x^{3} \right)}} - \frac{14 x^{3} \log{\left(- 2 x^{2} \right)} \cos{\left(7 x^{2} \right)}}{\sin^{2}{\left(7 x^{2} \right)} \sin{\left(4 x^{3} \right)}} + \frac{2 x \log{\left(- 2 x^{2} \right)}}{\sin{\left(7 x^{2} \right)} \sin{\left(4 x^{3} \right)}} + \frac{2 x}{\sin{\left(7 x^{2} \right)} \sin{\left(4 x^{3} \right)}}
0,0
\frac{e^{- 3 x^{3}}}{\cos{\left(7 x^{3} \right)}},\frac{21 x^{2} e^{- 3 x^{3}} \sin{\left(7 x^{3} \right)}}{\cos^{2}{\left(7 x^{3} \right)}} - \frac{9 x^{2} e^{- 3 x^{3}}}{\cos{\left(7 x^{3} \right)}}
e^{- 5 x} e^{- x^{3}} \cos{\left(8 x^{3} \right)},- 24 x^{2} e^{- 5 x} e^{- x^{3}} \sin{\left(8 x^{3} \right)} - 3 x^{2} e^{- 5 x} e^{- x^{3}} \cos{\left(8 x^{3} \right)} - 5 e^{- 5 x} e^{- x^{3}} \cos{\left(8 x^{3} \right)}
- \frac{\sin{\left(5 x \right)}}{\sin{\left(3 x^{3} \right)}},\frac{9 x^{2} \sin{\left(5 x \right)} \cos{\left(3 x^{3} \right)}}{\sin^{2}{\left(3 x^{3} \right)}} - \frac{5 \cos{\left(5 x \right)}}{\sin{\left(3 x^{3} \right)}}
1,0
- e^{- 6 x^{2}} \sin{\left(6 x^{3} \right)},- 18 x^{2} e^{- 6 x^{2}} \cos{\left(6 x^{3} \right)} + 12 x e^{- 6 x^{2}} \sin{\left(6 x^{3} \right)}
0,0
